name,mass,mz.tol,rt.min,rt.max
A,90.055503, 0.0010 ,11,11.34
R,175.1195, 0.0010 ,19,19.6
D,134.04533, 0.0010 ,15.4,16.54
Cystine,241.0311, 0.0010 ,20.2,20.64
E,148.06098, 0.0100 ,13.68,14.12
G,76.03985, 0.0010 ,12.42,12.74
H,156.0773, 0.0010 ,19.24,19.64
I/L,132.10245, 0.0010 ,8.1,8.54
K,147.11335, 0.0010 ,19.2,19.66
M,150.05887, 0.0010 ,9.52,9.8
F,166.0868, 0.0010 ,8.74,9.08
P,116.07115, 0.0100 ,9.8,10.2
S,106.05041, 0.0010 ,14.25,14.65
T,120.06606, 0.0100 ,12.5,12.8
Y,182.08171, 0.0010 ,11.55,11.85
V,118.0868, 0.0010 ,9.2,9.45
